总科,Superfamily,Superfamily author,科,Family,Family Author,亚科,Subfamily,Subfamily Author,族,Tribe,Tribe Author,属,Genus,Genus Author,亚属,Subgenus,Author,种,Species,Species Author,synonyms,
灰蝶总科,Lycaenidea,,灰蝶科,Lycaenidae,"Leach, 1815",眼灰蝶亚科,Polyommatinae,"Swainson, 1827",黑灰蝶族,Niphandini,"Eliot, 1973",黑灰蝶属,Niphanda,"Moore, [1875]",,,,黑灰蝶,Niphanda fusca,"(Bremer & Grey, 1853)",,
灰蝶总科,Lycaenidea,,灰蝶科,Lycaenidae,"Leach, 1815",眼灰蝶亚科,Polyommatinae,"Swainson, 1827",黑灰蝶族,Niphandini,"Eliot, 1973",黑灰蝶属,Niphanda,"Moore, [1875]",,,,泰黑灰蝶,Niphanda tessellata,"Moore, [1875]",,
灰蝶总科,Lycaenidea,,灰蝶科,Lycaenidae,"Leach, 1815",眼灰蝶亚科,Polyommatinae,"Swainson, 1827",黑灰蝶族,Niphandini,"Eliot, 1973",黑灰蝶属,Niphanda,"Moore, [1875]",,,,小黑灰蝶,Niphanda cymbia,"de Nicéville, [1884]",,
灰蝶总科,Lycaenidea,,灰蝶科,Lycaenidae,"Leach, 1815",眼灰蝶亚科,Polyommatinae,"Swainson, 1827",黑灰蝶族,Niphandini,"Eliot, 1973",黑灰蝶属,Niphanda,"Moore, [1875]",,,,点黑灰蝶,Niphanda asialis,"(de Nicéville, 1895)",,
灰蝶总科,Lycaenidea,,灰蝶科,Lycaenidae,"Leach, 1815",眼灰蝶亚科,Polyommatinae,"Swainson, 1827",犁灰蝶族,Lycaenesthini,"Toxopeus, 1929",尖角灰蝶属,Anthene,"Doubleday, 1847",,,,尖角灰蝶,Anthene emolus,"(Godart, [1824])",,
灰蝶总科,Lycaenidea,,灰蝶科,Lycaenidae,"Leach, 1815",眼灰蝶亚科,Polyommatinae,"Swainson, 1827",犁灰蝶族,Lycaenesthini,"Toxopeus, 1929",尖角灰蝶属,Anthene,"Doubleday, 1847",,,,点尖角灰蝶,Anthene lycaenina,"(Felder, 1868)",,
灰蝶总科,Lycaenidea,,灰蝶科,Lycaenidae,"Leach, 1815",眼灰蝶亚科,Polyommatinae,"Swainson, 1827",眼灰蝶族,Polyommatini,"Swainson, 1827",锯灰蝶属,Orthomiella,"de Nicéville in Marshall & de Nicéville, 1890",,,,锯灰蝶,Orthomiella pontis,"(Elwes, 1887)",,
灰蝶总科,Lycaenidea,,灰蝶科,Lycaenidae,"Leach, 1815",眼灰蝶亚科,Polyommatinae,"Swainson, 1827",眼灰蝶族,Polyommatini,"Swainson, 1827",锯灰蝶属,Orthomiella,"de Nicéville in Marshall & de Nicéville, 1890",,,,中华锯灰蝶,Orthomiella sinensis,"(Elwes, 1887)",,
灰蝶总科,Lycaenidea,,灰蝶科,Lycaenidae,"Leach, 1815",眼灰蝶亚科,Polyommatinae,"Swainson, 1827",眼灰蝶族,Polyommatini,"Swainson, 1827",锯灰蝶属,Orthomiella,"de Nicéville in Marshall & de Nicéville, 1890",,,,峦太锯灰蝶,Orthomiella rantaizana,"Wileman, 1910",,
灰蝶总科,Lycaenidea,,灰蝶科,Lycaenidae,"Leach, 1815",眼灰蝶亚科,Polyommatinae,"Swainson, 1827",眼灰蝶族,Polyommatini,"Swainson, 1827",纯灰蝶属,Una,"de Nicéville in Marshall & de Nicéville, 1890",,,,纯灰蝶,Una usta,"(Distant, 1886)",,
